"count","i","original_article_doi","ping"
11615,"app12031595","https://doi.org/10.3390/app12031595",TRUE
28765,"challe13020054","https://doi.org/10.3390/challe13020054",TRUE
48975,"ijerph17030975","https://doi.org/10.3390/ijerph17030975",TRUE
74815,"jof7121064","https://doi.org/10.3390/jof7121064",TRUE
106266,"polym12123060","https://doi.org/10.3390/polym12123060",TRUE
